,url
0,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2009042803019_0104/442,259,1667,805/833,402/0/default.jpg"
1,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2016122229002_0734/641,1483,575,617/287,/0/default.jpg"
4,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2014102226004_0161/726,26,560,311/560,311/0/default.jpg"
5,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2008121603011_0078/249,473,626,1119/313,/0/default.jpg"
6,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2014070838045_0096/457,1096,1419,1174/354,293/0/default.jpg"
9,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2012012012002_0145/2798,1228,282,153/282,153/0/default.jpg"
12,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2012070408119_0026/448,423,1405,2217/351,/0/default.jpg"
16,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2017082248017_0120/459,537,1262,2212/315,/0/default.jpg"
17,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2013062438204_0119/125,125,4001,3335/500,416/0/default.jpg"
18,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2014071708086_0001/47,1023,1379,1154/344,288/0/default.jpg"
19,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2015060508070_0100/279,911,1045,1271/261,/0/default.jpg"
23,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2011052320008_0074/395,383,1651,926/825,463/0/default.jpg"
24,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2006112101053_0413/0,4,1859,965/929,482/0/default.jpg"
26,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2015022327002_0310/647,2098,319,322/319,/0/default.jpg"
27,"https://www.nb.no/services/image/resolver/URN:NBN:no-nb_digibok_2008040712002_0095/705,346,1926,3585/481,/0/default.jpg"
